Species,Gregariousness,Water.Column,Activity,Diet,Habitat,TrophicLevel,BodySize
Chaetodon fasciatus,2,2,Day,Corallivore,coral,3,3
Chaetodon flavirostris,2,2,Day,Corallivore,coral,2,3
Chaetodon guentheri,2,2,Day,Corallivore,coral,2,3
Chaetodon guttatissimus,2,2,Day,Corallivore,coral,3,2
Chaetodon humeralis,2,2,Day,Invertivore,coral,2,3
Chaetodon interruptus,2,2,Day,Invertivore,coral,3,3
Chaetodon kleinii,2,2,Day,Corallivore,coral,3,2
Chaetodon lineolatus,2,2,Day,Corallivore,coral,3,3
Chaetodon litus,2,2,Day,Invertivore,coral,3,2
Chaetodon lunula,2,2,Day,Corallivore,coral,3,3
Chaetodon lunulatus,2,2,Day,Invertivore,coral,3,2
Chaetodon madagaskariensis,2,2,Day,Invertivore,coral,3,2
Chaetodon marleyi,2,2,Day,Invertivore,rock,2,3
Chaetodon melannotus,2,2,Day,Invertivore,coral,3,3
Chaetodon mertensii,2,2,Day,Invertivore,coral,2,2
Chaetodon meyeri,2,2,Day,Corallivore,coral,3,3
Chaetodon miliaris,2,2,Day,Planktivore,coral,2,2
Chaetodon multicinctus,2,2,Day,Corallivore,coral,3,2
Chaetodon ocellatus,2,2,Day,Corallivore,coral,3,3
Chaetodon ocellicaudus,2,2,Day,Invertivore,coral,3,2
Chaetodon octofasciatus,2,2,Day,Invertivore,coral,2,2
Chaetodon ornatissimus,2,2,Day,Corallivore,coral,3,3
Chaetodon oxycephalus,2,2,Day,Corallivore,coral,3,3
Chaetodon paucifasciatus,2,2,Day,Corallivore,coral,3,2
Chaetodon pelewensis,2,2,Day,Corallivore,coral,2,2
Chaetodon plebeius,2,2,Day,Corallivore,coral,3,2
Chaetodon punctatofasciatus,2,2,Day,Invertivore,coral,3,2
Chaetodon quadrimaculatus,2,2,Day,Corallivore,coral,3,3
Chaetodon rafflesii,2,2,Day,Corallivore,coral,3,3
Chaetodon rainfordi,2,2,Day,Corallivore,coral,2,2
Chaetodon reticulatus,2,2,Day,Corallivore,coral,2,3
Chaetodon sedentarius,2,2,Day,Invertivore,coral,2,2
Chaetodon semeion,2,2,Day,Invertivore,coral,2,3
Chaetodon semilarvatus,2,2,Day,Invertivore,coral,3,3
Chaetodon speculum,2,2,Day,Corallivore,coral,4,3
Chaetodon striatus,2,2,Day,Invertivore,coral,3,3
Chaetodon triangulum,2,2,Day,Corallivore,coral,3,3
Chaetodon trichrous,2,2,Day,Invertivore,coral,3,2
Chaetodon tricinctus,2,2,Day,Invertivore,coral,3,2
Chaetodon trifascialis,2,2,Day,Corallivore,coral,3,3
Chaetodon trifasciatus,2,2,Day,Corallivore,coral,3,2
Chaetodon ulietensis,2,2,Day,Invertivore,coral,3,2
Chaetodon unimaculatus,2,2,Day,Invertivore,coral,3,3
Chaetodon vagabundus,2,2,Day,Corallivore,coral,3,3
Chaetodon wiebeli,1,1,Day,Invertivore,coral,2,3
Chaetodon xanthocephalus,2,2,Day,Invertivore,coral,2,3
Chaetodon xanthurus,2,2,Day,Invertivore,coral,2,2
