sp_name;aesthe_score
Chirodactylus_brachydactylus;1219.6329
Chirolophis_ascanii;1275.991
Chironemus_maculosus;1407.9768
Chironemus_marmoratus;1368.8438
Chironemus_microlepis;1448.788
Chlorurus_atrilunula;1644.0912
Chlorurus_bleekeri;1720.4546
Chlorurus_bowersi;1817.583
Chlorurus_capistratoides;1563.1943
Chlorurus_frontalis;1575.8042
Chlorurus_gibbus;1713.339
Chlorurus_japanensis;1595.8146
Chlorurus_microrhinos;1677.044
Chlorurus_rhakoura;1351.505
Chlorurus_sordidus;1706.5239
Chlorurus_spilurus;1672.6848
Chlorurus_strongylocephalus;1673.0636
Choerodon_anchorago;1500.608
Choerodon_azurio;1542.1039
Choerodon_cauteroma;1637.24
Choerodon_cephalotes;1520.2937
Choerodon_cyanodus;1359.1636
Choerodon_fasciatus;1638.8665
Choerodon_graphicus;1513.83673106666
Choerodon_jordani;1402.9309
Choerodon_monostigma;1393.3354
Choerodon_rubescens;1291.4316
Choerodon_schoenleinii;1631.8512
Choerodon_vitta;1324.3638
Chriolepis_dialepta;1436.0842
Chromis_abrupta;1377.3329
Chromis_acares;1394.925
Chromis_agilis;1433.8354
Chromis_alpha;1314.0322
Chromis_alta;1618.6086
Chromis_amboinensis;1444.0398
Chromis_analis;1706.6132
Chromis_atrilobata;1295.4648
Chromis_atripectoralis;1553.55597624497
Chromis_atripes;1320.4679
Chromis_bami;1377.2097
Chromis_caudalis;1350.0824
Chromis_chromis;1498.6171
Chromis_chrysura;1508.2728
Chromis_cinerascens;1332.4675
Chromis_crusma;1338.4727
Chromis_cyanea;1618.942
Chromis_dimidiata;1533.4419
Chromis_dispilus;1263.1292
Chromis_elerae;1296.6583
Chromis_flavaxilla;1341.6667
Chromis_flavipectoralis;1411.8029
Chromis_flavomaculata;1366.9744
Chromis_fumea;1389.897
Chromis_hanui;1454.3499
Chromis_hypsilepis;1443.914
Chromis_insolata;1489.0419
Chromis_iomelas;1532.439
Chromis_klunzingeri;1429.3628
Chromis_lepidolepis;1382.0997
Chromis_limbata;1466.4977
Chromis_limbaughi;1584.9899
Chromis_lineata;1372.7664
Chromis_margaritifer;1406.2168
Chromis_multilineata;1267.8181
Chromis_nigrura;1440.9421
Chromis_nitida;1577.246
Chromis_notata;1376.2881
Chromis_opercularis;1323.4976
Chromis_ovalis;1373.7494
Chromis_pamae;1254.7921
Chromis_pelloura;1436.7092
Chromis_pembae;1418.9695
Chromis_punctipinnis;1295.1836
Chromis_randalli;1372.8376
Chromis_retrofasciata;1507.4316
Chromis_scotochiloptera;1307.3425
Chromis_scotti;1701.312
Chromis_ternatensis;1422.998
