"sp_name","esthe_score","file_name","copyright"
"Calamus_bajonado","1313.1978","Calamus_bajonado_A_1","YES"
"Calamus_brachysomus","1273.205","Calamus_brachysomus_A_1","YES"
"Calamus_calamus","1500.7499","Calamus_calamus_A_2","NO"
"Calamus_pennatula","1300.7495","Calamus_pennatula_A_1","YES"
"Calamus_taurinus","1253.6436","Calamus_taurinus_A_1","YES"
"Callanthias_australis","1542.8347","Callanthias_australis_M_1","YES"
"Calliclinus_geniguttatus","1543.4414","Calliclinus_geniguttatus_A_4","YES"
"Callionymus_comptus","1274.5253","Callionymus_comptus_A_1","YES"
"Callionymus_lyra","1528.8016","Callionymus_lyra_A_3","YES"
"Calloplesiops_altivelis","1942.7224","Calloplesiops_altivelis_A_2","NO"
"Calotomus_carolinus","1658.7128","Calotomus_carolinus_M_1","NO"
"Calotomus_japonicus","1346.9606","Calotomus_japonicus_M_1","NO"
"Calotomus_spinidens","1313.6877","Calotomus_spinidens_M_1","YES"
"Calotomus_viridescens","1490.5957","Calotomus_viridescens_A_2","NO"
"Cantherhines_dumerilii","1522.0505","Cantherhines_dumerilii_A_1","YES"
"Cantherhines_fronticinctus","1509.303","Cantherhines_fronticinctus_A_1","YES"
"Cantherhines_longicaudus","1477.6047","Cantherhines_longicaudus_A_1","YES"
"Cantherhines_macrocerus","1577.0563","Cantherhines_macrocerus_A_1","YES"
"Cantherhines_pardalis","1558.4404","Cantherhines_pardalis_A_1","YES"
"Cantherhines_pullus","1507.7001","Cantherhines_pullus_A_2","YES"
"Cantherhines_sandwichiensis","1448.0144","Cantherhines_sandwichiensis_A_3","NO"
"Cantheschenia_grandisquamis","1497.8755","Cantheschenia_grandisquamis_A_3","YES"
"Canthidermis_maculata","1472.666","Canthidermis_maculata_A_1","NO"
"Canthidermis_sufflamen","1440.6746","Canthidermis_sufflamen_A_2","NO"
"Canthigaster_amboinensis","1665.4841","Canthigaster_amboinensis_A_2","NO"
"Canthigaster_axiologus","1432.1072","Canthigaster_axiologus_A_1","YES"
"Canthigaster_bennetti","1476.9868","Canthigaster_bennetti_A_1","YES"
"Canthigaster_callisterna","1594.9011","Canthigaster_callisterna_A_2","YES"
"Canthigaster_capistrata","1452.1978","Canthigaster_capistrata_A_1","YES"
"Canthigaster_coronata","1455.4963","Canthigaster_coronata_A_1","NO"
"Canthigaster_cyanetron","1270.2961","Canthigaster_cyanetron_A_1","YES"
"Canthigaster_epilampra","1582.669","Canthigaster_epilampra_A_2","YES"
"Canthigaster_figueiredoi","1470.5898","Canthigaster_figueiredoi_A_2","YES"
"Canthigaster_jactator","1756.3198","Canthigaster_jactator_A_1","NO"
"Canthigaster_janthinoptera","1695.3431","Canthigaster_janthinoptera_A_3","NO"
"Canthigaster_marquesensis","1409.9727","Canthigaster_marquesensis_A_1","YES"
"Canthigaster_papua","1664.5476","Canthigaster_papua_A_1","YES"
"Canthigaster_punctatissima","1775.4474","Canthigaster_punctatissima_A_1","YES"
"Canthigaster_rapaensis","1410.6189","Canthigaster_rapaensis_A_1","YES"
"Canthigaster_rivulata","1646.0256","Canthigaster_rivulata_A_1","YES"
"Canthigaster_rostrata","1608.8691","Canthigaster_rostrata_A_2","NO"
"Canthigaster_sanctaehelenae","1439.7213","Canthigaster_sanctaehelenae_A_1","NO"
"Canthigaster_smithae","1515.3396","Canthigaster_smithae_A_1","YES"
"Canthigaster_valentini","1596.605","Canthigaster_valentini_A_1","NO"
